fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
9500186100,Bee pollen,0.11111111,0,0.063829795,other,"Cocoa bean, powder","Zach's dataset did not have a proxy for this FCID, so we assigned one"
801374000,Tomatillo,0.083333328,0.10714286,0.15183607,veg_oth,,
603038000,"Bean, lima, seed",0.11111112,0,0.063829817,leg_tot,,
603035000,"Bean,  great northern, seed",0.11111111,0,0.063829832,leg_tot,,
603040000,"Bean, navy, seed",0.11111112,0,0.063829735,leg_tot,,
602031000,"Bean, broad, succulent",0.11111111,0,0.063829832,leg_tot,,
603032000,"Bean, broad, seed",0.11111112,0,0.063829817,leg_tot,,
603041000,"Bean, pink, seed",0.11111112,0,0.063829824,leg_tot,,
603034000,"Bean, cowpea, seed",0.11111111,0,0.063829772,leg_tot,,
603256000,"Pea, dry",0.11111111,0,0.063829802,leg_tot,,
603203000,"Lentil, seed",0.11111111,0,0.063829757,leg_tot,,
2002364000,"Sunflower, seed",0.21212122,0.30303031,0.13636366,pf_ns,"Barley, pearled barley","Zach's dataset did not have a proxy for this FCID, so we assigned one"
603258000,"Pea, pigeon, seed",0.11111111,0,0.063829772,leg_tot,,
1400059000,Brazil nut,0.21951221,0,0.063829795,pf_ns,,
1400111000,"Coconut, meat",0.11111111,0,0.063829787,fruit_exc_juice,,
1400213000,Macadamia nut,0.086956523,0,0.063829809,pf_ns,,
2001163000,"Flax seed, oil",0.33333334,0,0.052631535,oil,,
9500306000,"Psyllium, seed",0.21212122,0.30303031,0.13636366,pf_ns,"Barley, pearled barley","Zach's dataset did not have a proxy for this FCID, so we assigned one"
2302077000,Carob,0.11111111,0,0.063829839,leg_tot,,
1100009000,"Apple, dried",0.12359551,0,0.063829824,fruit_exc_juice,,
1100007000,"Apple, fruit with peel",0.2857143,0.14285715,0.0940919,fruit_exc_juice,,
1001106000,Citron,4.8888888,5.2222223,0.07526879,fruit_exc_juice,,
1500403000,"Wheat, germ",0.25,0,0.13636366,gr_whole,,
2303141000,Date,0.38461539,0.15384616,0.063829765,fruit_exc_juice,,
2302154000,"Fig, dried",0.33333334,0,0.063829757,fruit_exc_juice,,
1203288000,"Plum, prune, juice",0.47058824,0,0.063829765,fruit_juice,,
1500329000,"Rye, flour",0.25000003,0,0.13636364,gr_whole,,
1500027000,"Barley, bran",0.2121212,0.30303031,0.13636361,gr_whole,,
1500381000,"Triticale, flour",0.25,0,0.13636369,gr_whole,,
2402024000,"Banana, dried",0.45454547,0,0.086956553,fruit_exc_juice,,Changed inedible to 0
1202261000,"Peach, dried",0.12359551,0,0.06382978,fruit_exc_juice,,
1307131000,"Cranberry, dried",0.36111107,0,0.063829765,fruit_exc_juice,,Changed inedible to 0
103015000,"Arrowroot, flour",0.25000003,0,0.13636364,veg_sta,"Rye, flour","Zach's dataset did not have a proxy for this FCID, so we assigned one"
2402023001,Banana-babyfood,0.45454541,0.81818181,0.086956516,babyfood,,
1500120001,"Corn, field, flour-babyfood",0.25000003,0,0.13636366,babyfood,,
1902105001,Cinnamon-babyfood,NA,NA,NA,babyfood,,
101053001,"Beet, sugar, molasses-babyfood",0.5151515,0,0.12359552,babyfood,,
9500363001,"Sugarcane, molasses-babyfood",0.5151515,0,0.12359549,babyfood,,
2003128001,"Cottonseed, oil-babyfood",0.33333331,0,0.052631546,babyfood,,
1202013000,"Apricot, dried",0.1235955,0,0.063829787,fruit_exc_juice,,
1202262000,"Peach, juice",0.82352942,0,0.13520966,fruit_juice,,Changed inedible to 0
1302174000,Gooseberry,0.3611111,0.027777776,0.063829795,fruit_exc_juice,,
1302191000,Huckleberry,0.36111107,0.027777776,0.063829832,fruit_exc_juice,,
1203286000,"Plum, prune, fresh",0.1235955,0,0.063829757,fruit_exc_juice,,
2202322000,Rhubarb,0.77999997,0.22,0.053774327,veg_oth,,
1304195000,"Kiwifruit, fuzzy",1.097561,0.34146342,0.14547539,fruit_exc_juice,,
2402215000,Mango,0.23214285,0.55357146,0.16911434,fruit_exc_juice,,
