subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
1,veg_sta,0.30037688967456105,0.03543459972147081,0.042719796881832306,0.006359577355751377,0.3975589826836519,0.0557449490295414,0.4035108012524633,0.05125473009448719,0.10587026852622948,0.9852499151191556,0.7444085480294869,1,NHW,1,20-34,1,Female
1,added_sugar,0.21021994926371126,0.04498189435740381,0.08344462533816738,0.00560008968774315,0.8741631459593155,0.06306821843085264,12.745820595521996,0.58366975702273,0.006546822522159466,0.06858429705706326,0.016493245584954182,1,NHW,1,20-34,1,Female
1,pf_seafood,1.089481413787944,0.3482000413632085,0.19523428187131606,0.039044419959884336,3.8238906398402635,0.8544235405652068,0.2964336910336946,0.08179585297682791,0.6586102989525723,12.899649248727314,3.6752955104017055,1,NHW,1,20-34,1,Female
1,leg_tot,0.14698779927498168,0.018113660198771364,0.0172785017268756,0.002452586786515324,0.1150995857370603,0.0154251697037617,0.5635928945394143,0.07126374055053017,0.030657770696339473,0.2042246927742467,0.26080491911649223,1,NHW,1,20-34,1,Female
1,pf_egg,1.3090572154311761,0.17459959206076472,0.20883017941573054,0.020049583028676064,1.279537002305224,0.12284710685858567,0.5778251081226392,0.05818075145364076,0.36140724326470053,2.214401874059186,2.2654903655611625,1,NHW,1,20-34,1,Female
1,pf_pm,0.9299510725151722,0.15978282701636531,NA,NA,NA,NA,1.1248103927392643,0.10241120840350164,NA,NA,0.8267625179479815,1,NHW,1,20-34,1,Female
1,gr_whole,0.3440559824971867,0.04280336787181846,0.029830904013251818,0.003349242942284931,0.18642004760828185,0.017984190746748504,0.9170878677110368,0.10889067671101468,0.032527858085950795,0.2032739219128134,0.37516141540059555,1,NHW,1,20-34,1,Female
1,fruit_juice,0.1614093725773454,0.04243046339094387,0.07305294184974498,0.01368073916206941,0.5617209056439301,0.0941719503140733,0.19050859254341043,0.03302993591782304,0.38346271354190337,2.948533177137052,0.8472550787469898,1,NHW,1,20-34,1,Female
1,pf_ns,0.2390584919672676,0.05357007798681801,0.024001586206900686,0.004159309528789337,0.13919522779403848,0.030759895421331084,0.5995535409816646,0.08350617286488618,0.040032431745132,0.2321647997710605,0.39872751243508786,1,NHW,1,20-34,1,Female
1,oil,0.0017838590222643241,9.272320227980103e-4,0.04489172890044121,0.001980999165116526,0.3756051562689832,0.01496205782049965,24.621529061860848,0.6636394587396444,0.0018232713649770534,0.015255151510910904,7.245118764892433e-5,1,NHW,1,20-34,1,Female
2,dairy,0.8500127280245249,0.13713025657715655,0.49156815834950474,0.03643672846189019,2.6513714731736155,0.1965724103911736,1.1982955852777204,0.07563732206860325,0.4102227900936291,2.2126189111838594,0.7093514642528901,2,NHB,1,20-34,1,Female
2,fruit_exc_juice,0.35306790161069446,0.04875171766337195,0.06896121151890991,0.012870861698920509,0.636072770831038,0.11154967515767748,0.37921579854191656,0.068569916901454,0.18185215854419973,1.6773372134724756,0.9310474483611688,2,NHB,1,20-34,1,Female
2,gr_refined,3.0537800248696754,0.18937478531484542,0.08689355086052283,0.007383671615841738,0.4906338318671209,0.03410841089472554,5.591974413072265,0.1788854564689739,0.01553897504562847,0.08773892647294208,0.5461005003404352,2,NHB,1,20-34,1,Female
2,pf_poultry,7.775043375331328,0.9902566733252022,0.5236898621925054,0.03185750148982325,3.602833649233241,0.22114565669498654,2.342016914376662,0.17162199088027427,0.22360635355696723,1.5383465538258723,3.3198066707390494,2,NHB,1,20-34,1,Female
2,pf_redm,6.199841343540567,0.8168519115451074,2.429048601802612,0.2595679363656051,5.738439415088773,0.5985659950939682,1.534550406488776,0.1817037855638287,1.5829057107094635,3.7394922909172905,4.040167932786582,2,NHB,1,20-34,1,Female
